repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_backdated_date,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214
76700438,7556169,75966.0,35306,21/07/2025,97256,,,,,,41694.56,30020.08,3000.51,1250.85,22/07/2025 6:11am,,,63796,TGL9WYKII7 -1
76700442,7910005,7128.0,35306,21/07/2025,91368,,,,,,5857.0,1171.0,100.0,0.0,22/07/2025 6:12am,,,63796,TGL6YS0NUQ
76700446,7910007,41223.0,35306,21/07/2025,91368,,,,,,22222.22,16000.0,3000.78,0.0,22/07/2025 6:13am,,,63796,TGL6YS0NUQ -1
76700450,8467897,56734.0,35306,22/07/2025,91368,,,,,,43333.33,10400.0,3000.67,0.0,22/07/2025 6:14am,,,63796,TGM7ZA7EJ7
76790934,8276291,4395.0,35306,17/07/2025,97256,,,,,,3579.0,716.0,100.0,0.0,23/07/2025 5:32am,,,63796,TGH6C864OC
76790935,8399495,5000.0,35306,21/07/2025,97256,,,,,,0.0,2000.37,2999.63,0.0,23/07/2025 5:34am,,,63796,TGL1XR6BSL
76790936,8474401,40000.0,35306,22/07/2025,97256,,,,,,25000.0,12000.0,3000.0,0.0,22/07/2025 3:58pm,,,63796,TGM31PLUYH
76790937,8482665,15147.0,35306,22/07/2025,91368,,,,,,12539.0,2508.0,100.0,0.0,22/07/2025 4:00pm,,,63796,TGM427LESC
76790938,8482667,125500.0,35306,22/07/2025,91368,,,,,,62500.0,60000.0,3000.0,0.0,22/07/2025 4:01pm,,,63796,TGM427LESC -1
76790939,8279030,5601.0,35306,22/07/2025,97256,,,,,,4584.0,917.0,100.0,0.0,22/07/2025 4:01pm,,,63796,TGM22T3J90
76790940,8279032,43399.0,35306,22/07/2025,97256,,,,,,39166.67,1799.34,2432.99,0.0,22/07/2025 4:02pm,,,63796,TGM22T3J90 -1
76790941,8399495,10000.0,35306,22/07/2025,97256,,,,,,0.0,10000.0,0.0,0.0,23/07/2025 5:33am,,,63796,TGM03LYZ02-1
76790942,7414765,40000.0,35306,22/07/2025,91368,,,,,,0.0,37001.79,2998.21,0.0,23/07/2025 5:41am,,,63796,TGM3Z6FGEH
76790992,8097465,7132.0,35306,23/07/2025,97256,,,,,,6372.0,510.0,250.0,0.0,23/07/2025 5:36am,,,63796,TGN84WSL9Y
76790993,8097463,43836.0,35306,23/07/2025,97256,,,,,,20628.35,20000.0,2999.32,208.33,23/07/2025 5:38am,,,63796,TGN84WSL9Y -1
76790994,8097463,205.0,35306,23/07/2025,97256,,,,,,204.98,0.0,0.02,0.0,23/07/2025 5:39am,,,63796,TGN14XCJM1
76790996,7658199,10000.0,35306,23/07/2025,91368,,,,,,8533.01,0.0,0.0,1466.99,23/07/2025 5:40am,,,63796,TGN24WOM3W
76790997,7414765,50000.0,35306,23/07/2025,91368,,,,,,44601.79,5398.21,0.0,0.0,23/07/2025 5:42am,,,63796,TGN74WCGXP
76837630,8669737,70000.0,35306,23/07/2025,97256,,,,,,43581.25,23418.75,3000.0,0.0,23/07/2025 10:35am,,,63796,TGN958VDC5
76898095,8647281,2343.0,118491,23/07/2025,91368,,,,,,2342.65,0.0,0.0,0.35,23/07/2025 2:23pm,,,63796,2343 deducted from 23k disbursement
76902177,8869243,0.0,118491,23/07/2025,97256,,,,,,0.0,0.0,0.0,0.0,24/07/2025 4:43am,,,63796,Disbursed 126160 in 3 months to restructure the initial loan
76902179,8669737,112544.0,118491,23/07/2025,97256,,,,,,112543.75,0.0,0.0,0.25,24/07/2025 4:43am,,,63796,Disbursed 126160 in 3 months to restructure the initial loan-1
76902182,8276576,4443.0,35306,23/07/2025,97256,,,,,,3619.0,724.0,100.0,0.0,24/07/2025 5:25am,,,63796,TGN07AVR6Y-1
76902184,8399495,7000.0,35306,23/07/2025,97256,,,,,,600.37,6399.63,0.0,0.0,24/07/2025 5:32am,,,63796,TGN67UKI8S
76902186,8799132,42000.0,35306,23/07/2025,91368,,,,,,30144.49,8855.51,3000.0,0.0,24/07/2025 5:33am,,,63796,TGN38EBEW9
